category,frequency
Hobbies,1464.0
,0.0
Characters & Brands,960.0
Fancy Dress,585.0
Bags,4.0
Arts & Crafts,802.0
Handbags & Shoulder Bags,1.0
Games,941.0
Figures & Playsets,1111.0
Home Accessories,5.0
"Sweets, Chocolate & Gum",2.0
Sports Toys & Outdoor,372.0
Die-Cast & Toy Vehicles,1221.0
Baby & Toddler Toys,106.0
"Storage, Cleaning & Ring Sizers",1.0
Bedding & Linens,1.0
Office Supplies,6.0
Party Supplies,694.0
Camping & Hiking,1.0
Pretend Play,45.0
Women,3.0
Electronic Toys,5.0
Car Parts,1.0
Dolls & Accessories,371.0
Indoor Lighting,2.0
Educational Toys,3.0
"Laundry, Storage & Organisation",1.0
Supporters' Gear,2.0
"Jams, Honey & Spreads",1.0
Novelty & Special Use,11.0
Musical Toy Instruments,19.0
Men,1.0
Sex & Sensuality,1.0
Cooking & Dining,4.0
Medication & Remedies,2.0
Puppets & Puppet Theatres,269.0
Jigsaws & Puzzles,274.0
Dogs,2.0
Medical Supplies & Equipment,1.0
"Pens, Pencils & Writing Supplies",7.0
Worlds Apart,3.0
Gardening,3.0
Lab & Scientific Products,1.0
Novelty Jewellery,1.0
